stack size              (kbytes, -s) unlimited
sz	1	2	4	8	16	32	64	128	256	512
10	0.038	0.029	0.013	0.012	0.014	0.020	0.029	0.042	0.078	0.144
100	0.013	0.012	0.018	0.012	0.014	0.018	0.026	0.043	0.075	0.141
1000	0.010	0.010	0.010	0.012	0.014	0.018	0.028	0.047	0.084	0.162
10000	0.010	0.009	0.010	0.012	0.013	0.017	0.027	0.049	0.085	0.161
100000	0.009	0.011	0.017	0.017	0.023	0.031	0.054	0.081	0.153	0.285
1000000	0.038	0.046	0.060	0.081	0.114	0.184	0.320	0.635	1.230	2.414
10000000	0.277	0.358	0.487	0.710	1.101	1.820	3.230	6.446	11.631	22.998
100000000	2.457	3.475	4.518	6.313	9.995	16.817	29.667	55.284	106.569	208.797
1000000000	24.254	33.444	45.126	63.076	96.061	165.866	297.294	554.355	1065.857	2090.802
